symbol,name,sector,market_cap,earnings_yield,return_on_capital,return_1d,return_1m,return_1y,ey_rank,roc_rank,combined_rank
MO,"Altria Group, Inc.",Consumer Defensive,96695820000,8.96,128.85,1.8,3.16,22.76,39.0,8.0,47.0
GSK,GSK plc,Healthcare,36859569361,15.81,50.76,2.39,0.86,39.29,5.0,60.5,65.5
BTI,British American Tobacco p.l.c.,Consumer Defensive,91900143950,7.92,122.18,3.89,-0.07,18.54,59.0,10.0,69.0
DELL,Dell Technologies Inc.,Technology,75838243600,9.21,63.31,-2.35,-1.49,220.61,37.0,43.0,80.0
NVO,Novo Nordisk A/S,Healthcare,1439095359150,8.73,68.33,1.92,17.33,-23.34,44.0,40.0,84.0
AZN,AstraZeneca PLC,Healthcare,136012500000,8.81,57.84,1.12,-3.96,21.26,42.0,48.0,90.0
ABEV,Ambev S.A.,Consumer Defensive,211277089037,11.18,44.34,0.66,-6.15,29.79,18.0,73.0,91.0
SKHYV,SK hynix Inc.,Technology,167100447707205,29.04,38.16,,,,2.0,91.0,93.0
ADBE,Adobe Inc.,Technology,136375380000,6.49,150.25,1.13,10.05,-37.64,87.5,7.0,94.5
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,127055360000,8.06,62.16,1.25,-0.7,20.85,53.0,45.0,98.0
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,38040381000,6.47,107.63,3.17,-1.67,-4.58,89.0,16.0,105.0
EME,"EMCOR Group, Inc.",Industrials,27561751290,6.65,82.02,-2.27,-10.69,36.84,80.0,28.0,108.0
HLN,Haleon plc,Healthcare,33620304450,6.18,124.18,2.97,10.69,3.19,99.5,9.0,108.5
INFY,Infosys Limited,Technology,53981258520,8.65,48.67,3.13,-1.85,-37.51,46.0,64.0,110.0
ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,296602344050,12.99,34.69,-1.71,-19.0,37.09,11.0,104.0,115.0
PAYX,"Paychex, Inc.",Industrials,36765716000,6.39,82.39,2.94,12.22,-19.51,91.0,26.0,117.0
UL,Unilever PLC,Consumer Defensive,121565676960,6.58,69.0,1.49,6.26,-8.1,83.0,38.0,121.0
CMCSA,Comcast Corporation,Communication Services,101808000000,14.88,31.51,2.3,0.25,-30.79,6.0,119.0,125.0
JNJ,Johnson & Johnson,Healthcare,504080216000,6.3,73.08,1.04,5.92,60.86,94.0,35.0,129.0
AU,AngloGold Ashanti plc,Basic Materials,43313712000,10.5,33.67,-3.03,-16.85,61.69,21.5,111.0,132.5
EXPE,"Expedia Group, Inc.",Consumer Cyclical,35516591530,5.37,1817.31,-0.97,11.62,47.78,131.0,2.0,133.0
NTAP,"NetApp, Inc.",Technology,21415870000,7.83,44.01,-2.11,-1.94,53.36,60.0,75.0,135.0
KVUE,Kenvue Inc.,Consumer Defensive,32953230000,5.88,81.22,1.63,4.14,-11.15,110.0,29.0,139.0
ACN,Accenture plc,Technology,162453081990,6.6,52.24,2.41,-15.14,-49.17,82.0,58.0,140.0
QCOM,QUALCOMM Incorporated,Technology,181168800000,7.03,46.77,-2.92,-21.75,11.98,74.5,68.0,142.5
GFI,Gold Fields Limited,Basic Materials,39074512578,10.49,31.42,-2.67,-18.89,32.3,23.0,121.0,144.0
EQNR,Equinor ASA,Energy,61272590000,29.65,27.94,-0.21,4.48,39.12,1.0,148.0,149.0
BMY,Bristol-Myers Squibb Company,Healthcare,110091540000,7.27,41.47,1.91,6.4,28.88,71.0,79.0,150.0
CCEP,Coca-Cola Europacific Partners PLC,Consumer Defensive,35200815120,6.2,52.99,2.09,7.3,14.02,97.0,54.0,151.0
CI,Cigna Corporation,Healthcare,73196868040,9.25,31.94,-4.75,-3.46,-6.21,36.0,115.0,151.0
